Temperature,Turbidity,Turbidity,PH,Dissolved oxygen
18.7,49,3101,7.55,4.91
18.8,60,3421,7.58,6.04
18.8,80,3804,7.54,4.88
18.9,83,4230,7.6,5.93
18.9,76,3267,7.57,5.25
18.9,77,4064,7.57,5.37
18.9,84,4233,7.54,4.9
18.8,68,3700,7.49,3.8
18.7,58,3127,7.54,4.66
18.6,56,3366,7.48,4.23
18.7,56,2952,7.47,4.04
18.6,51,2693,7.48,4.57
18.6,44,2435,7.47,5.55
18.6,45,2700,7.45,4.68
18.6,45,2516,7.43,4.38
18.5,44,2815,7.42,4.3
18.5,37,1447,7.46,4.73
18.7,36,604,7.47,5.38
18.8,46,2027,7.47,5.76
18.9,55,2703,7.43,4.7
19.2,53,2802,7.48,5.31
19.1,49,2450,7.45,5.33
19.2,64,951,7.43,4.88
19,74,2884,7.42,4.55
18.9,79,3307,7.42,4.24
18.9,96,3954,7.43,3.78
18.9,94,3973,7.47,3.83
19,75,3976,7.47,3.51
18.9,81,2497,7.49,3.49
18.9,81,4274,7.48,3.53
18.9,84,3539,7.46,3.37
19,88,4262,7.47,4.01
18.7,57,3675,7.46,4.58
18.8,66,3028,7.43,3.88
19,69,3841,7.43,3.98
19,66,3120,7.43,3.73
19,61,4119,7.45,4.11
18.9,62,2639,7.44,3.61
18.9,65,4339,7.44,3.54
18.8,68,4264,7.43,3.64
18.7,63,3672,7.43,3.53
18.6,69,3892,7.42,3.42
18.6,60,4012,7.42,4.04
18.7,66,4101,7.43,4.25
18.9,59,4063,7.46,5.18
18.8,53,3584,7.46,5.33
18.9,66,4138,7.44,5.02
18.9,65,3752,7.45,5.24
18.9,82,4057,7.47,5.02
18.9,68,3618,7.46,5.63
18.9,78,4110,7.44,5.19
18.8,64,4161,7.43,5.12
18.7,53,3777,7.47,5.48
18.6,49,3777,7.42,5.41
18.4,40,3575,7.42,5.63
18.3,44,3672,7.39,5.14
18.3,47,2986,7.41,5.84
18.2,37,3424,7.38,5.51
18.2,37,3276,7.36,5.24
18,48,3446,7.36,4.84
18,73,3145,7.39,4.5
18,55,3191,7.36,4.1
17.9,49,3313,7.35,4.21
17.7,65,3503,7.35,4.01
17.6,96,3200,7.36,3.67
17.7,72,3117,7.35,3.71
18,63,3721,7.35,4.23
18.4,59,3886,7.36,4.99
18.7,51,3951,7.37,4.61
18.7,45,3960,7.35,4.37
18.8,45,3918,7.34,4.47
18.6,38,3829,7.34,3.89
18.6,38,3832,7.34,3.89
18.4,44,3200,7.34,3.28
18.3,42,3813,7.33,3.5
18.3,46,3885,7.33,3.55
18.2,41,3882,7.34,3.59
18.1,42,3838,7.33,3.57
18,43,3554,7.33,3.49
17.9,43,3816,7.33,3.85
18.1,40,3841,7.34,4.25
18.1,46,3629,7.3,5.4
18,37,3734,7.31,4.97
17.9,37,3783,7.32,4.37
17.8,37,3703,7.33,4.25
17.7,36,3684,7.32,4.07
17.5,37,3753,7.32,4.07
17.5,33,3706,7.32,3.97
17.6,33,3718,7.33,4.1
17.8,27,2899,7.33,5.6
17.9,34,3176,7.31,5.05
18,30,3424,7.31,4.38
18.2,29,3627,7.34,5.48
18.2,27,3098,7.31,5.38
18.5,34,3531,7.34,7.18
18.7,40,3599,7.34,7.42
18.2,32,3515,7.31,4.81
18.1,33,3493,7.31,3.92
18.1,37,3879,7.31,3.81
18.1,40,3908,7.32,3.55
18.1,44,3936,7.33,2.81
18.1,48,4134,7.33,2.91
18.1,50,4116,7.33,2.93
18,61,3841,7.31,4.77
17.9,57,3348,7.3,4.38
17.7,53,3298,7.31,4.37
17.7,40,3430,7.31,3.65
18,43,4302,7.31,3.11
18,43,4122,7.32,2.76
17.5,37,3421,7.33,2.91
17.2,34,3418,7.33,3.36
17.2,37,3886,7.32,3.1
17.3,33,3718,7.31,3.92
17.5,36,3718,7.3,4.38
17.5,38,3749,7.31,3.21
17.6,41,3780,7.31,3.5
17.8,36,4050,7.31,3.12
17.8,40,4003,7.31,3.7
17.9,41,3338,7.31,4.15
18.1,57,4063,7.3,4.73
18.2,63,4367,7.49,5.61
18.1,67,4417,7.55,7.01
18,66,4650,7.5,4.79
18,70,4374,7.55,5.52
18,66,4709,7.48,4.25
18,67,4563,7.48,4.21
17.8,54,4401,7.54,5.07
17.8,36,4255,7.54,5.27
18,56,4690,7.46,3.81
17.9,54,4520,7.46,3.74
17.6,46,4402,7.49,4.72
18,43,4783,7.41,2.93
18,41,4745,7.46,3.95
17.8,38,4661,7.43,3.26
17.5,36,4566,7.46,3.76
17.3,36,4306,7.54,5.07
17.4,36,4100,7.55,5.46
17.5,45,4172,7.58,5.7
17.6,42,4223,7.52,5.03
17.7,49,4346,7.49,4.24
17.8,49,4271,7.58,5.77
18.8,46,4277,8,9.82
19,44,4100,8.06,10.47
18.6,37,4190,7.88,7.97
18.1,33,4311,7.71,7.07
18.5,46,4286,7.86,8.33
18.3,43,4239,7.81,8.03
18.2,42,4299,7.78,7.77
18.6,56,4186,7.94,8.82
18.9,69,4192,7.95,8.41
18.8,81,4069,7.81,6.76
18.8,59,3804,7.69,5.63
18.4,27,2740,7.61,5.98
18.2,25,2600,7.59,5.93
18.1,36,2624,7.57,6.26
18.4,40,2967,7.55,5.36
18.5,41,3082,7.52,4.87
18.3,40,2970,7.5,4.54
17.8,30,2693,7.51,4.97
17.7,33,2789,7.49,4.68
17.9,29,2865,7.5,4.93
,,,,
,,,,
,,,,
,,,,
18.8,49,3614,7.46,4.05
18.6,66,3642,7.46,3.96
18.7,94,3408,7.52,4.77
18.7,86,3384,7.55,5.34
18.6,72,3636,7.46,3.56
18.5,78,3586,7.52,4.31
18.4,71,3559,7.51,4.18
18.1,64,3525,7.55,4.71
18,61,3522,7.55,4.76
18,62,3393,7.56,4.86
17.8,61,3348,7.55,4.58
17.9,58,3244,7.56,4.9
17.6,55,3235,7.56,4.95
18,53,3876,7.53,4.73
18.1,47,4110,7.52,5.23
17.6,42,3791,7.54,4.88
17.5,43,3755,7.52,4.77
17.3,45,3618,7.52,4.7
17.1,50,3510,7.54,5.08
17.1,49,3556,7.53,5.09
17.2,48,3575,7.5,4.63
,,,,
,,,,
,,,,
,,,,
17.9,66,4230,7.5,4.38
18.1,70,4060,7.68,6.52
18,59,4016,7.66,5.59
17.8,66,4287,7.51,4.11
17.8,65,4321,7.53,4.32
