PH,elec,tur,oxy,tem
7.647,3094.167,112.05,5.596,19.094
7.683,3169.48,120.43,5.95,19.253
7.719,3198.934,119.86,6.337,19.414
7.746,3279.724,118.939,6.577,19.522
7.771,3397.489,120.746,6.749,19.594
7.789,3587.988,127.34,6.781,19.6
7.8,3763.51,131.781,6.758,19.586
7.799,3903.644,130.184,6.654,19.544
7.79,4000.29,124.278,6.514,19.477
7.779,3987.834,114.045,6.422,19.398
7.765,3946.624,105.107,6.293,19.335
7.752,3898.049,95.008,6.188,19.284
7.738,3817.7,86.669,6.095,19.242
7.717,3757.483,81.084,5.947,19.215
7.694,3622.75,75.055,5.792,19.2
7.667,3484.753,68.732,5.524,19.19
7.642,3314.739,64.232,5.256,19.182
7.62,3096.782,60.677,5.045,19.171
7.601,2838.386,56.764,4.894,19.156
7.585,2802.034,53.984,4.828,19.137
7.573,2837.674,55.567,4.782,19.118
7.563,2958.549,63.58,4.682,19.131
7.564,3070.759,72.076,4.657,19.168
7.575,3172.984,82.998,4.762,19.221
7.599,3292.228,95.824,4.958,19.295
7.637,3365.997,109.325,5.358,19.386
7.68,3451.03,118.255,5.788,19.515
7.726,3454.59,123.077,6.253,19.663
7.748,3473.192,127.721,6.446,19.716
7.771,3451.094,130.79,6.661,19.741
7.793,3459.867,133.155,6.895,19.763
7.801,3459.558,126.541,6.98,19.752
7.804,3403.219,117.859,6.989,19.737
7.804,3285.046,109.358,6.951,19.723
7.795,3131.426,101.919,6.834,19.71
7.779,2964.098,95.995,6.631,19.696
7.759,3131.39,89.997,6.411,19.681
7.739,3263.878,84.731,6.252,19.661
7.722,3309.422,81.173,6.141,19.646
7.698,3283.199,79.501,5.887,19.618
7.675,3249.965,77.562,5.606,19.577
7.653,3157.659,75.426,5.348,19.536
7.63,3218.312,74.187,5.11,19.523
7.61,3258.088,73.688,4.89,19.514
7.597,3278.131,74.125,4.76,19.522
7.596,3273.803,72.819,4.799,19.552
7.61,3254.916,69.907,5.042,19.609
7.636,3204.246,68.281,5.444,19.685
7.67,3171.498,69.27,5.917,19.772
7.715,3175.846,70.739,6.439,19.867
7.773,3190.523,74.272,6.996,19.987
7.841,3220.11,81.287,7.586,20.119
7.881,3323.826,92.621,7.777,20.189
7.884,3485.495,104.217,7.581,20.177
7.851,3688.85,109.681,7.043,20.085
7.804,3912.745,110.082,6.373,19.96
7.757,4139.504,107.517,5.698,19.827
7.729,4285.86,105.477,5.247,19.743
7.714,4395.959,103.556,4.988,19.709
7.717,4509.131,100.809,4.949,19.715
7.722,4557.021,96.255,4.961,19.725
7.729,4580.431,88.85,5.018,19.732
7.73,4590.313,83.542,4.997,19.746
7.725,4597.724,79.9,4.915,19.764
7.716,4591.443,76.209,4.824,19.771
7.7,4550.705,72.157,4.753,19.751
7.681,4522.658,70.474,4.65,19.732
7.664,4490.845,70.114,4.562,19.703
7.648,4454.17,70.715,4.476,19.683
7.636,4448.364,75.598,4.398,19.688
7.628,4481.23,82.942,4.347,19.72
7.625,4523,89.513,4.354,19.765
7.629,4567.975,93.604,4.406,19.808
7.637,4594.875,96.109,4.428,19.845
7.649,4618.715,96.405,4.453,19.875
7.654,4651.319,97.734,4.347,19.869
7.656,4696.913,100.303,4.193,19.826
7.661,4771.09,104.369,4.029,19.778
7.669,4857.513,107.808,3.956,19.74
7.684,4901.159,110.299,3.991,19.712
7.708,4825.374,110.141,4.181,19.692
7.726,4705.547,105.842,4.4,19.675
7.734,4466.926,94.279,4.569,19.66
7.732,4277.624,79.521,4.689,19.657
7.72,4026.993,65.188,4.752,19.662
7.7,3782.59,53.89,4.771,19.655
7.678,3600.796,46.023,4.758,19.629
7.66,3467.792,41.237,4.733,19.58
7.646,3346.36,37.186,4.756,19.519
7.636,3298.361,33.976,4.833,19.447
7.626,3273.76,32.678,4.896,19.392
7.616,3314.13,33.955,4.873,19.36
7.607,3376.762,38.461,4.775,19.37
7.598,3467.361,45.578,4.612,19.427
7.589,3596.252,56.102,4.386,19.546
7.58,3754.853,67.912,4.15,19.686
7.579,3886.431,79.506,4.041,19.801
7.587,3978.161,87.67,4.073,19.876
