tem,tur,elec,PH,oxy
20.2,92.6,3323.8,7.9,7.8
20.2,104.2,3485.5,7.9,7.6
20.1,109.7,3688.8,7.9,7
20,110.1,3912.7,7.8,6.4
19.8,107.5,4139.5,7.8,5.7
19.7,105.5,4285.9,7.7,5.2
19.7,103.6,4396,7.7,5
19.7,100.8,4509.1,7.7,4.9
19.7,96.3,4557,7.7,5
19.7,88.9,4580.4,7.7,5
19.7,83.5,4590.3,7.7,5
19.8,79.9,4597.7,7.7,4.9
19.8,76.2,4591.4,7.7,4.8
19.8,72.2,4550.7,7.7,4.8
19.7,70.5,4522.7,7.7,4.6
19.7,70.1,4490.8,7.7,4.6
19.7,70.7,4454.2,7.6,4.5
19.7,75.6,4448.4,7.6,4.4
19.7,82.9,4481.2,7.6,4.3
19.8,89.5,4523,7.6,4.4
19.8,93.6,4568,7.6,4.4
19.8,96.1,4594.9,7.6,4.4
19.9,96.4,4618.7,7.6,4.5
19.9,97.7,4651.3,7.7,4.3
19.8,100.3,4696.9,7.7,4.2
19.8,104.4,4771.1,7.7,4
19.7,107.8,4857.5,7.7,4
19.7,110.3,4901.2,7.7,4
19.7,110.1,4825.4,7.7,4.2
19.7,105.8,4705.5,7.7,4.4
19.7,94.3,4466.9,7.7,4.6
19.7,79.5,4277.6,7.7,4.7
19.7,65.2,4027,7.7,4.8
19.7,53.9,3782.6,7.7,4.8
19.6,46,3600.8,7.7,4.8
19.6,41.2,3467.8,7.7,4.7
19.5,37.2,3346.4,7.6,4.8
19.4,34,3298.4,7.6,4.8
19.4,32.7,3273.8,7.6,4.9
19.4,34,3314.1,7.6,4.9
19.4,38.5,3376.8,7.6,4.8
19.4,45.6,3467.4,7.6,4.6
19.5,56.1,3596.3,7.6,4.4
19.7,67.9,3754.9,7.6,4.2
19.8,79.5,3886.4,7.6,4
19.9,87.7,3978.2,7.6,4.1
19.9,92.1,4045.7,7.6,4.3
19.9,95.5,4097.2,7.6,4.5
19.8,98.9,4165.8,7.6,4.7
19.8,101.4,4218,7.6,4.9
19.8,103.2,4263.5,7.7,5
19.8,102.2,4283,7.7,4.9
19.8,100.4,4246.1,7.7,4.8
19.7,96.4,4147.3,7.7,4.7
19.7,86.8,3995.8,7.6,4.7
19.7,75.4,3859.2,7.6,4.6
19.7,62.8,3686.8,7.6,4.5
19.7,51.6,3544.5,7.6,4.4
19.7,42.8,3411.5,7.6,4.4
19.7,36.4,3289.4,7.6,4.5
19.6,32,3178.1,7.6,4.6
19.6,30.6,3099.6,7.6,4.6
19.6,31.1,3045,7.6,4.5
19.6,33,3044.7,7.6,4.5
19.6,36.7,3069.5,7.6,4.5
19.6,42.2,3111.2,7.6,4.4
19.8,49.6,3149.5,7.6,4.3
19.9,57.6,3143.5,7.6,4.6
20,64.8,3081.7,7.6,5.3
20.1,65.5,2980.8,7.7,6.1
20.3,64.9,2966,7.8,7.1
20.5,64.6,2915,7.8,8
20.6,63.5,2869.3,7.9,8.8
20.6,60.4,2815.6,8,9.1
20.6,56.4,2803.3,8,9.2
20.5,53.3,2815.5,7.9,8.8
20.4,52.1,2825.8,7.9,8.1
20.3,51.2,2802.4,7.8,7.5
20.2,51.1,2807.6,7.7,6.9
20.1,50,2801.5,7.7,6.4
20.1,49.4,2841.8,7.7,5.9
20,50.2,3085,7.6,5.3
19.9,51.4,3310.6,7.6,4.9
19.9,52.4,3472.8,7.6,4.6
19.8,53.3,3629.7,7.6,4.4
19.8,53.4,3705.3,7.6,4.2
19.7,51.2,3653.2,7.6,4.2
19.6,50.1,3550,7.6,4.2
19.6,50.5,3498.6,7.6,4.2
19.5,51.7,3440.2,7.6,4.3
19.5,53.3,3387.3,7.6,4.4
19.5,53.6,3409,7.6,4.7
19.6,55.8,3450.2,7.6,4.8
19.6,59.9,3497.3,7.6,4.9
19.7,63.9,3540.9,7.6,5
19.7,66.7,3569.1,7.7,5.2
19.7,69.6,3584.3,7.7,5.5
19.7,70.3,3571.6,7.7,5.8
19.6,69.6,3580.6,7.7,6
19.5,67.9,3574.8,7.7,6.2
19.5,66.4,3546.8,7.7,6.2
19.4,66.2,3569.4,7.7,6.2
19.3,65.7,3565.4,7.7,6
19.2,64.5,3605.8,7.7,5.8
19.2,63.2,3654.3,7.7,5.4
19.1,60.4,3664.4,7.7,5
19.1,55.3,3579.6,7.6,4.6
19,47.7,3436.5,7.6,4.3
19,38.7,3192.8,7.6,4.1
19,32.1,2910.2,7.5,3.9
18.9,29.3,2682.7,7.5,3.9
18.9,30.5,2548,7.5,3.8
18.9,34.6,2491.7,7.5,3.8
18.9,42.6,2484.5,7.5,3.9
19,54.7,2515.2,7.5,3.9
19.1,69,2555.3,7.5,4
19.3,88.1,2579.1,7.5,4.1
19.4,112.1,2548.9,7.5,4.2
19.5,128.7,2469.9,7.5,4.4
19.6,135,2565.7,7.6,4.5
19.7,131.7,2687.6,7.6,4.6
19.7,123.9,2810.8,7.6,4.6
