tem,PH,elec,tur,oxy
20.1,7.7,2801.5,50,6.4
20.1,7.7,2841.8,49.4,5.9
20,7.6,3085,50.2,5.3
19.9,7.6,3310.6,51.4,4.9
19.9,7.6,3472.8,52.4,4.6
19.8,7.6,3629.7,53.3,4.4
19.8,7.6,3705.3,53.4,4.2
19.7,7.6,3653.2,51.2,4.2
19.6,7.6,3550,50.1,4.2
19.6,7.6,3498.6,50.5,4.2
19.5,7.6,3440.2,51.7,4.3
19.5,7.6,3387.3,53.3,4.4
19.5,7.6,3409,53.6,4.7
19.6,7.6,3450.2,55.8,4.8
19.6,7.6,3497.3,59.9,4.9
19.7,7.6,3540.9,63.9,5
19.7,7.7,3569.1,66.7,5.2
19.7,7.7,3584.3,69.6,5.5
19.7,7.7,3571.6,70.3,5.8
19.6,7.7,3580.6,69.6,6
19.5,7.7,3574.8,67.9,6.2
19.5,7.7,3546.8,66.4,6.2
19.4,7.7,3569.4,66.2,6.2
19.3,7.7,3565.4,65.7,6
19.2,7.7,3605.8,64.5,5.8
19.2,7.7,3654.3,63.2,5.4
19.1,7.7,3664.4,60.4,5
19.1,7.6,3579.6,55.3,4.6
19,7.6,3436.5,47.7,4.3
19,7.6,3192.8,38.7,4.1
19,7.5,2910.2,32.1,3.9
18.9,7.5,2682.7,29.3,3.9
18.9,7.5,2548,30.5,3.8
18.9,7.5,2491.7,34.6,3.8
18.9,7.5,2484.5,42.6,3.9
19,7.5,2515.2,54.7,3.9
19.1,7.5,2555.3,69,4
19.3,7.5,2579.1,88.1,4.1
19.4,7.5,2548.9,112.1,4.2
19.5,7.5,2469.9,128.7,4.4
19.6,7.6,2565.7,135,4.5
19.7,7.6,2687.6,131.7,4.6
19.7,7.6,2810.8,123.9,4.6
19.6,7.6,2955.5,116.8,4.4
19.5,7.5,3089.6,110.5,4.2
19.4,7.5,3174.5,104.6,4
19.3,7.5,3206.3,100.8,3.9
19.2,7.5,3204.2,97.1,3.8
19.1,7.5,3261.6,93.4,3.6
19.1,7.5,3300.8,89.2,3.5
19,7.5,3299.8,84,3.5
18.9,7.5,3252.3,78,3.5
18.9,7.5,3209.3,70.8,3.5
18.9,7.5,3231.7,63.3,3.4
19,7.5,3325.3,60.6,3.2
19,7.5,3421.1,60.9,3.1
19,7.5,3530.7,62.5,3
18.9,7.5,3608.9,67.5,3.1
19,7.5,3747.1,79.4,3.1
19,7.5,3868.2,95.7,3.3
18.9,7.6,3948.7,113.1,3.6
18.9,7.6,3971.7,120.4,3.9
19,7.6,3991.7,119.6,4.2
19,7.6,4062.6,118.2,4.4
19.1,7.6,4112.1,113.4,4.5
19.1,7.6,4137.9,106.4,4.6
19.2,7.6,4126,99.9,4.7
19.2,7.6,4100.6,96.1,4.7
19.2,7.6,4091.9,93.6,4.6
19.2,7.6,4069.3,90.6,4.5
19.1,7.6,4060.8,88.4,4.4
19.1,7.6,4093.4,85.8,4.3
19,7.6,4088.4,82.8,4.2
19,7.6,4022.1,78.6,4.1
18.9,7.6,3878.2,73.7,4
18.8,7.5,3764.6,68.4,3.8
18.8,7.5,3653.2,63.9,3.7
18.7,7.5,3559.5,58.5,3.5
18.7,7.5,3485.1,54.7,3.5
18.6,7.5,3364.6,51.4,3.6
18.5,7.5,3200.8,48.6,3.8
18.4,7.5,3007.1,45,4.3
18.4,7.5,2806.9,40.9,4.8
18.4,7.5,2627.7,38.9,5.2
18.5,7.5,2531.9,39.1,5.5
18.6,7.5,2596.2,41.2,5.6
18.6,7.6,2658,42.8,5.8
18.7,7.6,2785.1,44.3,5.8
18.8,7.6,2925.9,46.3,5.8
18.8,7.6,3101.3,50.1,5.6
18.8,7.6,3280.1,55.8,5.5
18.8,7.6,3482.6,63.2,5.5
18.8,7.6,3673.3,70.6,5.4
18.9,7.6,3803.5,75.4,5.4
18.9,7.6,3827,77.1,5.2
18.9,7.6,3868.3,76.9,5
18.8,7.5,3822.1,74.6,4.8
18.8,7.5,3656.3,69.6,4.5
18.7,7.5,3438.4,63.9,4.4
18.7,7.5,3239,58.9,4.4
18.6,7.5,3018.2,54.5,4.4
18.6,7.5,2811.8,50.5,4.6
18.6,7.5,2635.3,46.9,4.7
18.6,7.5,2494.9,44.5,4.7
18.6,7.4,2328.1,42.7,4.7
18.6,7.4,2135.3,41.4,4.8
18.6,7.4,1884.6,40.7,4.9
18.7,7.5,1773.2,41.8,5.1
18.8,7.5,1915.8,45,5.2
18.9,7.5,2109.2,49.2,5.2
19,7.5,2240.8,53.4,5.1
19.1,7.4,2309,58.4,5
19.1,7.4,2407.3,65.4,4.8
19,7.4,2760.7,72.8,4.5
19,7.4,3131.1,79.3,4.3
19,7.4,3445.3,84.3,4
18.9,7.5,3619.8,85.9,3.8
18.9,7.5,3670.6,84.6,3.7
