tem,PH,tur,elec,oxy
17.5,7.3,36,3718,4.38
17.5,7.31,38,3749,3.21
17.6,7.31,41,3780,3.5
17.8,7.31,36,4050,3.12
17.8,7.31,40,4003,3.7
17.9,7.31,41,3338,4.15
18.1,7.3,57,4063,4.73
18.2,7.49,63,4367,5.61
18.1,7.55,67,4417,7.01
18,7.5,66,4650,4.79
18,7.55,70,4374,5.52
18,7.48,66,4709,4.25
18,7.48,67,4563,4.21
17.8,7.54,54,4401,5.07
17.8,7.54,36,4255,5.27
18,7.46,56,4690,3.81
17.9,7.46,54,4520,3.74
17.6,7.49,46,4402,4.72
18,7.41,43,4783,2.93
18,7.46,41,4745,3.95
17.8,7.43,38,4661,3.26
17.5,7.46,36,4566,3.76
17.3,7.54,36,4306,5.07
17.4,7.55,36,4100,5.46
17.5,7.58,45,4172,5.7
17.6,7.52,42,4223,5.03
17.7,7.49,49,4346,4.24
17.8,7.58,49,4271,5.77
18.8,8,46,4277,9.82
19,8.06,44,4100,10.47
18.6,7.88,37,4190,7.97
18.1,7.71,33,4311,7.07
18.5,7.86,46,4286,8.33
18.3,7.81,43,4239,8.03
18.2,7.78,42,4299,7.77
18.6,7.94,56,4186,8.82
18.9,7.95,69,4192,8.41
18.8,7.81,81,4069,6.76
18.8,7.69,59,3804,5.63
18.4,7.61,27,2740,5.98
18.2,7.59,25,2600,5.93
18.1,7.57,36,2624,6.26
18.4,7.55,40,2967,5.36
18.5,7.52,41,3082,4.87
18.3,7.5,40,2970,4.54
17.8,7.51,30,2693,4.97
17.7,7.49,33,2789,4.68
17.9,7.5,29,2865,4.93
,,,,
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
18.8,7.46,49,3614,4.05
18.6,7.46,66,3642,3.96
18.7,7.52,94,3408,4.77
18.7,7.55,86,3384,5.34
18.6,7.46,72,3636,3.56
18.5,7.52,78,3586,4.31
18.4,7.51,71,3559,4.18
18.1,7.55,64,3525,4.71
18,7.55,61,3522,4.76
18,7.56,62,3393,4.86
17.8,7.55,61,3348,4.58
17.9,7.56,58,3244,4.9
17.6,7.56,55,3235,4.95
18,7.53,53,3876,4.73
18.1,7.52,47,4110,5.23
17.6,7.54,42,3791,4.88
17.5,7.52,43,3755,4.77
17.3,7.52,45,3618,4.7
17.1,7.54,50,3510,5.08
17.1,7.53,49,3556,5.09
17.2,7.5,48,3575,4.63
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17.9,7.5,66,4230,4.38
18.1,7.68,70,4060,6.52
18,7.66,59,4016,5.59
17.8,7.51,66,4287,4.11
17.8,7.53,65,4321,4.32
17.8,7.51,64,4430,3.75
17.8,7.55,78,4268,4.27
17.8,7.63,68,4205,5.38
17.6,7.6,59,3923,5.05
17.4,7.57,65,3854,4.68
17.6,7.55,67,4108,4.45
17.1,7.63,63,3235,6.29
17.4,7.55,57,3914,4.64
16.8,7.6,74,2893,5.78
16.9,7.59,73,2874,5.79
16.8,7.59,71,2639,5.78
0,0,0,0,0
0,0,0,0,0
17,7.55,64,2438,5.63
17.1,7.6,55,2388,6.32
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17.4,7.45,59,2862,4.83
17.4,7.45,55,3080,4.6
17.6,7.58,57,2884,5.98
17.4,7.49,55,3170,4.69
17.5,7.48,55,3363,4.63
17.6,7.61,55,3403,6.27
17.6,7.62,39,3366,6.47
17.5,7.57,47,3279,5.79
17.3,7.57,43,3216,5.75
17,7.56,36,3042,5.72
16.8,7.56,33,2994,5.75
16.7,7.54,36,2995,5.55
17,7.56,33,2824,6.24
17,7.54,42,2868,5.88
16.9,7.53,34,2805,5.65
16.9,7.56,43,2547,6.19
17.1,7.6,48,2476,6.62
