tem,PH,elec,tur,oxy
19.97,7.59,3117.95,73.44,4.99
20.11,7.64,2867.11,67.56,5.97
20.27,7.73,2984.71,62.80,6.98
20.48,7.85,2924.19,64.36,8.12
20.65,7.98,2877.56,65.66,9.20
20.72,8.03,2762.19,61.38,9.59
20.66,8.04,2775.29,54.50,9.70
20.51,7.96,2851.72,50.08,9.00
20.35,7.85,2913.34,51.11,7.89
20.29,7.79,2829.77,51.29,7.32
20.17,7.71,2841.85,52.83,6.63
20.11,7.68,2699.35,49.99,6.28
20.06,7.66,2550.36,47.39,6.01
20.00,7.62,3063.51,49.32,5.27
19.94,7.59,3395.86,51.60,4.82
19.90,7.58,3507.77,53.09,4.62
19.86,7.58,3758.49,55.46,4.39
19.79,7.57,3890.26,56.75,4.12
19.70,7.57,3711.65,50.26,4.24
19.62,7.56,3460.85,47.49,4.24
19.56,7.56,3468.66,49.20,4.14
19.50,7.57,3405.27,52.11,4.19
19.47,7.58,3279.93,55.49,4.41
19.51,7.61,3368.78,51.23,4.87
19.59,7.63,3450.09,52.71,4.96
19.67,7.61,3517.98,59.53,4.81
19.72,7.61,3575.30,65.13,4.77
19.75,7.64,3600.63,67.03,5.11
19.72,7.68,3617.40,72.38,5.42
19.69,7.73,3549.45,72.53,5.91
19.62,7.75,3598.08,70.52,6.16
19.56,7.75,3593.12,66.07,6.21
19.45,7.74,3480.58,63.40,6.22
19.38,7.73,3557.13,65.09,6.23
19.29,7.72,3470.18,65.22,6.14
19.20,7.70,3546.84,64.03,5.90
19.13,7.68,3684.90,64.99,5.41
19.10,7.66,3787.47,64.63,4.94
19.07,7.63,3692.95,60.83,4.55
19.03,7.59,3592.95,50.96,4.14
19.02,7.55,3254.88,36.90,3.95
19.03,7.52,2819.16,27.96,3.92
18.97,7.50,2525.90,26.10,3.90
18.90,7.48,2424.39,29.30,3.84
18.85,7.48,2430.83,32.52,3.82
18.87,7.49,2463.72,39.10,3.86
19.00,7.49,2550.85,50.79,3.88
19.15,7.51,2651.79,59.35,4.02
19.27,7.51,2725.57,79.56,3.97
19.38,7.53,2616.24,121.39,4.18
19.53,7.54,2245.05,145.29,4.40
19.61,7.55,2485.16,149.09,4.48
19.73,7.57,2679.36,135.91,4.71
19.75,7.59,2793.93,118.82,4.84
19.60,7.57,2982.63,111.00,4.51
19.42,7.55,3174.33,106.34,4.08
19.31,7.53,3257.59,100.31,3.82
19.23,7.52,3222.59,99.54,3.76
19.12,7.51,3101.07,97.13,3.93
19.12,7.50,3260.73,94.59,3.56
19.13,7.50,3376.81,91.77,3.33
19.08,7.52,3390.92,87.13,3.42
18.86,7.53,3253.76,81.81,3.66
18.79,7.52,3104.94,72.55,3.68
18.83,7.51,3124.36,58.72,3.58
19.00,7.51,3320.54,58.63,3.19
19.08,7.50,3433.74,61.08,2.95
19.04,7.49,3567.45,58.34,2.96
18.88,7.50,3538.03,56.54,3.06
18.97,7.50,3761.05,70.62,2.92
19.00,7.52,3941.30,95.18,3.13
18.94,7.55,4030.67,128.23,3.63
18.91,7.58,3953.42,132.96,4.03
18.91,7.61,3895.22,120.78,4.35
18.94,7.60,4058.00,120.17,4.46
19.03,7.60,4146.61,113.99,4.43
19.14,7.61,4192.29,103.23,4.59
19.27,7.63,4140.04,94.12,4.79
19.27,7.61,4068.71,93.07,4.70
19.22,7.60,4078.61,93.49,4.58
19.15,7.59,4011.84,89.96,4.52
19.11,7.58,3981.32,88.88,4.40
19.07,7.57,4132.67,86.85,4.24
19.01,7.57,4194.83,84.60,4.10
18.96,7.57,4124.78,79.79,4.11
18.86,7.57,3828.96,74.02,4.12
18.76,7.55,3709.09,67.50,3.99
18.77,7.54,3584.82,64.59,3.70
18.78,7.52,3516.61,56.67,3.46
18.75,7.52,3551.01,53.82,3.35
18.67,7.51,3460.56,51.84,3.36
18.53,7.50,3287.90,51.03,3.56
18.36,7.50,3060.76,46.90,4.16
18.27,7.52,2800.68,38.74,5.00
18.30,7.54,2510.85,35.90,5.43
18.44,7.54,2345.77,37.49,5.66
18.57,7.54,2610.36,43.43,5.55
18.69,7.56,2641.51,45.03,5.82
18.77,7.57,2805.21,44.74,5.96
18.85,7.58,2911.97,44.03,6.04
18.75,7.55,3089.71,46.29,5.28
18.74,7.55,3231.88,52.39,5.22
18.78,7.56,3473.77,62.47,5.46
18.82,7.56,3736.07,73.96,5.36
18.87,7.58,3891.85,79.26,5.52
18.90,7.57,3773.32,79.20,5.36
18.89,7.56,3939.14,78.79,5.16
18.87,7.54,3957.00,77.27,4.78
18.80,7.52,3697.03,69.43,4.35
18.72,7.51,3379.43,61.77,4.36
18.66,7.49,3217.07,57.14,4.28
18.65,7.48,2968.24,54.04,4.33
18.62,7.47,2748.98,50.18,4.62
18.60,7.46,2604.44,46.33,4.93
18.58,7.45,2588.68,44.72,4.74
18.56,7.44,2473.94,43.52,4.56
18.54,7.44,2263.09,41.72,4.56
18.57,7.45,1690.51,39.28,4.83
18.68,7.46,1419.15,39.97,5.19
18.81,7.46,1878.32,44.97,5.36
